Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18009_001
06037503901,14000US06037503901,Census Tract 5039.01,"Census Tract 5039.01, Los Angeles County, California",ca,140,0,ACSSF,5386,,,,,6,37,,,,503901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260
06037503902,14000US06037503902,Census Tract 5039.02,"Census Tract 5039.02, Los Angeles County, California",ca,140,0,ACSSF,5387,,,,,6,37,,,,503902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257
06037504001,14000US06037504001,Census Tract 5040.01,"Census Tract 5040.01, Los Angeles County, California",ca,140,0,ACSSF,5388,,,,,6,37,,,,504001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513
06037504002,14000US06037504002,Census Tract 5040.02,"Census Tract 5040.02, Los Angeles County, California",ca,140,0,ACSSF,5389,,,,,6,37,,,,504002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456
06037504101,14000US06037504101,Census Tract 5041.01,"Census Tract 5041.01, Los Angeles County, California",ca,140,0,ACSSF,5390,,,,,6,37,,,,504101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399
06037504102,14000US06037504102,Census Tract 5041.02,"Census Tract 5041.02, Los Angeles County, California",ca,140,0,ACSSF,5391,,,,,6,37,,,,504102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06037530003,14000US06037530003,Census Tract 5300.03,"Census Tract 5300.03, Los Angeles County, California",ca,140,0,ACSSF,5392,,,,,6,37,,,,530003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519
06037530004,14000US06037530004,Census Tract 5300.04,"Census Tract 5300.04, Los Angeles County, California",ca,140,0,ACSSF,5393,,,,,6,37,,,,530004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511
06037530005,14000US06037530005,Census Tract 5300.05,"Census Tract 5300.05, Los Angeles County, California",ca,140,0,ACSSF,5394,,,,,6,37,,,,530005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06037530006,14000US06037530006,Census Tract 5300.06,"Census Tract 5300.06, Los Angeles County, California",ca,140,0,ACSSF,5395,,,,,6,37,,,,530006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559
06037530101,14000US06037530101,Census Tract 5301.01,"Census Tract 5301.01, Los Angeles County, California",ca,140,0,ACSSF,5396,,,,,6,37,,,,530101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279
06037530102,14000US06037530102,Census Tract 5301.02,"Census Tract 5301.02, Los Angeles County, California",ca,140,0,ACSSF,5397,,,,,6,37,,,,530102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215
06037530202,14000US06037530202,Census Tract 5302.02,"Census Tract 5302.02, Los Angeles County, California",ca,140,0,ACSSF,5398,,,,,6,37,,,,530202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265
06037530203,14000US06037530203,Census Tract 5302.03,"Census Tract 5302.03, Los Angeles County, California",ca,140,0,ACSSF,5399,,,,,6,37,,,,530203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268
06037530204,14000US06037530204,Census Tract 5302.04,"Census Tract 5302.04, Los Angeles County, California",ca,140,0,ACSSF,5400,,,,,6,37,,,,530204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512
06037530301,14000US06037530301,Census Tract 5303.01,"Census Tract 5303.01, Los Angeles County, California",ca,140,0,ACSSF,5401,,,,,6,37,,,,530301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224
06037530302,14000US06037530302,Census Tract 5303.02,"Census Tract 5303.02, Los Angeles County, California",ca,140,0,ACSSF,5402,,,,,6,37,,,,530302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071
06037530400,14000US06037530400,Census Tract 5304,"Census Tract 5304, Los Angeles County, California",ca,140,0,ACSSF,5403,,,,,6,37,,,,530400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983
06037530500,14000US06037530500,Census Tract 5305,"Census Tract 5305, Los Angeles County, California",ca,140,0,ACSSF,5404,,,,,6,37,,,,530500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158
06037530601,14000US06037530601,Census Tract 5306.01,"Census Tract 5306.01, Los Angeles County, California",ca,140,0,ACSSF,5405,,,,,6,37,,,,530601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236
06037530602,14000US06037530602,Census Tract 5306.02,"Census Tract 5306.02, Los Angeles County, California",ca,140,0,ACSSF,5406,,,,,6,37,,,,530602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265
06037530700,14000US06037530700,Census Tract 5307,"Census Tract 5307, Los Angeles County, California",ca,140,0,ACSSF,5407,,,,,6,37,,,,530700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248
06037530801,14000US06037530801,Census Tract 5308.01,"Census Tract 5308.01, Los Angeles County, California",ca,140,0,ACSSF,5408,,,,,6,37,,,,530801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183
06037530802,14000US06037530802,Census Tract 5308.02,"Census Tract 5308.02, Los Angeles County, California",ca,140,0,ACSSF,5409,,,,,6,37,,,,530802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287
06037530901,14000US06037530901,Census Tract 5309.01,"Census Tract 5309.01, Los Angeles County, California",ca,140,0,ACSSF,5410,,,,,6,37,,,,530901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212
06037530902,14000US06037530902,Census Tract 5309.02,"Census Tract 5309.02, Los Angeles County, California",ca,140,0,ACSSF,5411,,,,,6,37,,,,530902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046
06037531000,14000US06037531000,Census Tract 5310,"Census Tract 5310, Los Angeles County, California",ca,140,0,ACSSF,5412,,,,,6,37,,,,531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217
06037531101,14000US06037531101,Census Tract 5311.01,"Census Tract 5311.01, Los Angeles County, California",ca,140,0,ACSSF,5413,,,,,6,37,,,,531101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180
06037531102,14000US06037531102,Census Tract 5311.02,"Census Tract 5311.02, Los Angeles County, California",ca,140,0,ACSSF,5414,,,,,6,37,,,,531102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262
06037531201,14000US06037531201,Census Tract 5312.01,"Census Tract 5312.01, Los Angeles County, California",ca,140,0,ACSSF,5415,,,,,6,37,,,,531201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174
